date,fund,price
2026-02-24,Etappe Staatsobligaties 10+ Fonds,21.93
2026-02-24,Zwitserleven MaatschappijGarantie (2%),41.61
2026-02-24,Zwitserleven PPI Vanguard Small Cap Fund,55.05
2026-02-24,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.88
2026-02-24,Zwitserleven PPI iShares Government Bond index Fund,50.6
2026-02-24,Zwitserleven Index Aandelenfonds Europa,44.31
2026-02-24,Zwitserleven Credits Fonds,11.55
2026-02-24,Zwitserleven Index Aandelenfonds Opkomende Landen,35.17
2026-02-24,Zwitserleven Credits Hypotheken Mixfonds,11.49
2026-02-24,Zwitserleven Duurzaam Wereld Aandelenfonds,37.3
2026-02-24,Zwitserleven Index Aandelenfonds Noord-Amerika,48.74
2026-02-24,Zwitserleven Obligatiefonds,17.65
2026-02-24,Zwitserleven Medium Duration Fonds,28.43
2026-02-24,Zwitserleven Government Bonds 10+ Fonds,8.32
2026-02-24,Euro Mixfonds,39.71
2026-02-24,Zwitserleven Europees Aandelenfonds,38.77
2026-02-24,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.41
2026-02-24,Zwitserleven Ultra Long Duration Fonds,22.81
2026-02-24,Zwitserleven Amerika Aandelenfonds,98.75
2026-02-24,Zwitserleven MaatschappijGarantie (3%),46.36
2026-02-24,Optimaal Wereld Aandelenfonds,73.92
2026-02-24,Zwitserleven VP Selectie,10.45
2026-02-24,Zwitserleven Mixfonds,59.73
2026-02-24,Zwitserleven RZL Amerika Aandelenfonds,90.07
2026-02-24,Wereld Beheer Mixfonds,39.28
2026-02-24,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.08
2026-02-24,Zwitserleven PW Verzekerd Rendementfonds,15.15
2026-02-24,Zwitserleven RZL Euro Obligatiefonds,26.82
2026-02-24,Zwitserleven PW Europees Beheer Fonds 3%,188.69
2026-02-24,Zwitserleven PW Collectief Garantiefonds,20.27
2026-02-24,Zwitserleven PW Wereldbeheerfonds 3%,140.22
2026-02-24,Zwitserleven RZL Azië Aandelenfonds,50.03
2026-02-24,Zwitserleven PW Garandement,15.99
2026-02-24,Zwitserleven PW Vastrentendfonds,19.64
2026-02-24,Zwitserleven PW Safetyfonds,112.65
2026-02-24,Zwitserleven PW Europees Beheer Fonds 4%,190.62
2026-02-24,Zwitserleven Lifestyle Garantie,168.59
2026-02-24,Zwitserleven PW Doorlopend Garantiefonds,13.49
2026-02-24,Zwitserleven PW Wereldbeheerfonds 4%,141.47
2026-02-24,Zwitserleven PW Vastrentendfonds Nederland 3%,20.11
2026-02-24,Zwitserleven PW Garantiefonds,13.44
2026-02-24,Zwitserleven PW Garantie Plusfonds,18.35
2026-02-24,Zwitserleven RZL Europa Aandelenfonds,58.73
2026-02-24,Optimaal Staatsobligaties 10+ Fonds,22.1
2026-02-24,Zwitserleven Long Duration Fonds,27.02
2026-02-24,Zwitserleven RendementsGarantie 2%,26.25
2026-02-24,Zwitserleven Selectie Fonds,41.06
2026-02-24,Zwitserleven RZL Vastgoedfonds,47.02
2026-02-24,Zwitserleven MaatschappijGarantie plus,53.42
2026-02-24,Zwitserleven Vastgoedfonds,25.81
2026-02-24,Zwitser­leven Geldmarkt­fonds,25.22
2026-02-24,PP Euro Obligatiefonds,25.89
2026-02-24,Zwitserleven Wereld Aandelenfonds,86.53
2026-02-24,Zwitserleven Index Aandelenfonds Pacific,39.67
2026-02-24,Zwitserleven RZL Wereld Aandelenfonds,62.42
2026-02-24,Zwitserleven RendementsGarantie 1%,23.11
2026-02-24,Zwitser­leven PPI Geldmarkt­fonds,50.43
2026-02-24,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.46
2026-02-24,Zwitser­leven Vanguard US 500 Stock Index Fund,25.23
2026-02-24,Zwitserleven Vanguard Small Cap Fund,27.46
2026-02-24,Zwitserleven Kortlopend Obligatiefonds,6.1
2026-02-24,Zwitserleven PW Vastrentendfonds Nederland 4%,20.11
2026-02-24,Zwitserleven VP Wereld Aandelen,13.5
2026-02-25,Zwitserleven PW Garantiefonds,13.45
2026-02-25,Zwitserleven Obligatiefonds,17.65
2026-02-25,ASN Duurzaam Obligatiefonds,25.75
2026-02-25,ASN Duurzaam Aandelenfonds,198.69
2026-02-25,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.88
2026-02-25,Etappe Euro Aandelen­fonds,62.81
2026-02-25,Etappe Euro Obligatie­fonds,26.02
2026-02-25,Etappe Staatsobligaties 10+ Fonds,21.95
2026-02-25,PP Wereld Aandelenfonds,78.32
2026-02-25,Optimaal Vastgoedfonds,35.59
2026-02-25,Optimaal Wereld Aandelenfonds,74.32
2026-02-25,PP Euro Obligatiefonds,25.89
2026-02-25,Optimaalfonds Oranje,38.22
2026-02-25,PP Euro Aandelenfonds,66.02
2026-02-25,PP Euro Mixfonds,42.83
2026-02-25,PP Optimaal Euro Mixfonds,41.94
2026-02-25,Euro Aandelen­fonds,61.67
2026-02-25,ASN Milieu & Waterfonds,53.66
2026-02-25,Zwitserleven Index Wereld Aandelenfonds,90.67
2026-02-25,Zwitserleven Index Aandelenfonds Opkomende Landen,35.48
2026-02-25,Zwitserleven Amerika Aandelenfonds,100.03
2026-02-25,Zwitserleven Long Duration Fonds,27.07
2026-02-25,Zwitserleven Duurzaam Wereld Aandelenfonds,37.52
2026-02-25,Zwitserleven Europees Aandelenfonds,38.86
2026-02-25,Zwitserleven Vastgoedfonds,25.87
2026-02-25,Zwitserleven Index Aandelenfonds Pacific,39.9
2026-02-25,Zwitserleven Credits Hypotheken Mixfonds,11.48
2026-02-25,Zwitserleven Vanguard Small Cap Fund,27.7
